game_link,name,price,genres,features,developer,publisher,release date,platform,os version,memory,storage,directx,gpu,languages,Critics Recommend,Top Critic Average,OpenCritic Rating
"The Walking Dead : The Definitive Series-50%₹1,415₹707.50",The Walking Dead : The Telltale Definitive Series,₹707.50,NarrationAdventure,Single PlayerController Support,DeveloperSkybound Games,PublisherSkybound Games,Release Date09/10/19,PlatformWindowsWindows,7 64Bit Service Pack 1,3 GB RAM,Nvidia GeForce GTS 450 2GB,Version 11,15 GB available space,null,85%,85,Mighty
ZOMBI₹999,ZOMBI,₹999,Horror,null,DeveloperUbisoft MontpellierStraight Right,PublisherUbisoft,Release Date10/13/20,Windows ,Windows 7 SP1 (64bit version only),4 GB RAM,nVidia GeForce GTS 450 or AMD Radeon HD5770 (1024MB VRAM),DirectX June 2010 Redistributable,DirectX Compatible Sound Card with latest drivers,null,24%,67,Fair
Five Nights at Freddy's: Security Breach₹939,Five Nights at Freddy's: Security Breach,₹939,HorrorStealthIndie,Single Player,DeveloperSteel Wool Studios,PublisherScottGames,Release Date03/01/22,Windows ,Windows 10 (64 bit),8 GB RAM,Nvidia GeForce GTX 1050 Ti,DirectX 12,80 GB,"Text: French, Italian, English, German, Spanish (Latin America), Spanish (Spain), Portuguese, Russian",null,null,null
Nibiru₹469,Nibiru,₹469,Action-AdventureOpen WorldSurvival,Single PlayerCo-op,DeveloperWild Monkey,PublisherFreedom Games,Release Date03/22/22,PlatformWindowsWindows,64-bit Windows 10,8 GB,NVIDIA GeForce GTX 1060 3GB or AMD Radeon RX 480 4GB,DirectX 11,10 GB available space,"Text: English, Russian, Chinese (Simplified), German, French, Spanish (Spain)",null,null,null
ATOM RPG₹479,ATOM RPG,₹479,RPGIndieTurn-Based,Single Player,DeveloperATOM TEAM,PublisherATOM TEAM,Release Date04/07/22,PlatformWindowsWindowsMac OSMac OS,Windows 64-bit (7 SP1/8/8.1/10),2 GB RAM,NVIDIA GeForce GTX 260 / Radeon HD 4670 1GB / Intel HD 4600,DirectX 10,10 GB available space,"Text: French, English, Russian, Italian, Polish, Chinese (Simplified), Chinese (Traditional), German, Spanish (Spain), Japanese, Ukrainian",null,null,null
Rainbow Six Siege Standard Edition₹999,Rainbow Six Siege,₹999,ActionShooterStrategy,Controller SupportCo-opMultiplayer,DeveloperUbisoft,PublisherUbisoft,Release Date12/01/15,PlatformWindowsWindows,Windows 7 | Windows 8.1 | Windows 10 | 64 bit only,6 GB RAM,NVIDIA GeForce GTX 460 | AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM),61 GB available space,Broadband Internet connection,null,55%,76,Strong
Harlow₹309,Harlow,₹309,PlatformerCasualIndie,Single Player,DeveloperGood Trouble,"PublisherRogue Games, Inc.",Release Date03/15/22,PlatformWindowsWindowsMac OSMac OS,Windows 7 (SP1+) and Windows 10,2 GB,NVIDIA GeForce GTX 460 or AMD Radeon HD 5770 (w/ 1GB VRAM),DirectX 10,2 GB,Text: English,null,null,null
The Crows EyeNEW TO EPIC₹239,The Crows Eye,₹239,PuzzleExplorationFirst Person,Single PlayerController Support,Developer3D2 Entertainment,PublisherAkupara Games,Release Date04/18/22,Windows ,Windows 7,4GB RAM,NVIDIA GeForce GTX 460 or equivalent,DirectX 9,3GB,"Text: English, Spanish (Spain), Russian, Italian, Turkish, French",6%,65,Weak
Q.U.B.E. 2₹521,Q.U.B.E. 2,₹521,PuzzleAdventureFirst Person,Single PlayerController Support,DeveloperToxic Games,PublisherTen Hut Games,Release Date03/18/18,PlatformWindowsWindows,Windows 7 64-bit,4 GB RAM,NVIDIA GeForce GTX 470 or AMD Radeon 6870 HD series card,Version 11,4 GB available space,null,68%,76,Strong
Conarium₹521,Conarium,₹521,HorrorIndiePuzzle,Controller SupportSingle Player,DeveloperZoetrope Interactive,PublisherIceberg Interactive,Release Date06/06/17,PlatformWindowsWindows,Windows 7 64-bit,6 GB RAM,"NVIDIA GeForce GTX 480/570/670, ATI Radeon HD 5870/5850",Version 11,8 GB available space,null,31%,70,Fair
