game_link,name,price,genres,features,developer,publisher,release date,platform,os version,memory,storage,directx,gpu,languages,Critics Recommend,Top Critic Average,OpenCritic Rating
Ashwalkers₹279,Ashwalkers,₹279,IndieSurvivalAdventure,Single Player,DeveloperNameless XIII,PublisherDear Villagers,Release Date04/15/21,PlatformWindowsWindows,Windows 7+,2GB,8,9.0c,null,null,30%,64,Weak
NecroLand: Undead Corps₹239,NecroLand: Undead Corps,₹239,Action,Co-opMultiplayerCompetitiveSingle Player,DeveloperJANUS LABS,"PublisherNicalis, Inc.",Release Date06/30/21,PlatformWindowsWindowsMac OSMac OS,Windows Vista,256MB Video Memory,11,2 GB,500 MB,null,null,null,null
Ageless₹458,Ageless,₹458,ActionAdventurePlatformer,null,DeveloperOne More Dream Studios,PublisherTeam17 Digital Ltd.,Release Date07/29/20,PlatformWindowsWindows,Windows 7 64-bit,2GB,11,GTX650 1GB VRAM,null,null,null,null,null
"Expeditions: Rome₹1,499",Expeditions: Rome,"₹1,499",RPGStrategy,Single Player,DeveloperLogic Artists,PublisherTHQ Nordic,Release Date01/20/22,PlatformWindowsWindows,"Windows 7, 10 (64-bit)",8 GB,11,AMD R9 380 4GB / GTX 960 4GB,30 GB,null,74%,81,Strong
"The Medium₹2,949",The Medium,"₹2,949",HorrorAdventure,Single Player,DeveloperBloober Team,PublisherBloober Team S.A.,Release Date01/28/21,PlatformWindowsWindows,Windows 10 (64bit version only),8,30,11,@1080p NVIDIA GeForce® GTX 1060 6GB / AMD Radeon™ R9 390X (or equivalent with 4 GB VRAM),null,63%,75,Strong
Chorus₹899,Chorus,₹899,ActionAdventure,Single Player,DeveloperDeep Silver Fishlabs,PublisherDeep Silver,Release Date12/03/21,PlatformWindowsWindows,Windows 10,8,36,12,Intel Iris Xe Graphics | GeForce GTX 750 | Radeon HD 7770,null,null,null,null
Legend of Keepers₹469,Legend of Keepers,₹469,IndieRPGStrategy,Controller SupportSingle Player,DeveloperGoblinz Studio,PublisherGoblinz Publishing,Release Date04/29/21,PlatformWindowsWindowsMac OSMac OS,Windows 7,2 GB,1 GB,DirectX 11 and/or OpenGL 3.3 compatible video card,null,null,null,null,null
DEMON'S TILT₹529,DEMON'S TILT,₹529,ActionHorror,Single Player,DeveloperWIZNWAR,PublisherFLARB LLC,Release Date05/10/21,Windows ,Windows 10,4 GB,1 GB,11,GTX 660 or Radeon 7970,null,null,null,null
The Flower Collectors₹469,The Flower Collectors,₹469,AdventureFirst PersonIndie,Single Player,DeveloperMi'pu'mi Games,PublisherMi'pu'mi Games,Release Date12/18/20,PlatformWindowsWindows,"64-bit processor and operating system: Windows 7SP1, 8, 8.1, 10",4 GB,1 GB,DirectX 11 compatible,NVIDIA GeForce GTX 460 2GB RAM,null,null,null,null
Backbone₹589,Backbone,₹589,AdventureIndie,Single Player,DeveloperEggNut,PublisherRaw Fury,Release Date06/08/21,PlatformWindowsWindows,Windows 7,4 GB,1 GB,Nvidia GTX 760 or equivalent,null,null,null,null,null
Pupperazzi₹469,Pupperazzi,₹469,CasualComedyFirst Person,Single Player,DeveloperSundae Month,PublisherKitfox Games,Release Date01/20/22,PlatformWindowsWindowsMac OSMac OS,Windows 7 or better,4 GB RAM,1 GB,10,Intel HD Graphics,null,54%,71,Fair
At Eve's Wake₹589,At Eve's Wake,₹589,HorrorNarration,Single Player,DeveloperSugar Rush Studios,PublisherSugar Rush Studios,Release Date10/26/21,PlatformWindowsWindows,Windows 10,4 GB RAM,1 GB,11,GeForce GTX 960,null,null,null,null
Golazo₹209,Golazo,₹209,Sports,Co-opSingle PlayerController Support,DeveloperPurple Tree,PublisherPurple Tree,Release Date03/31/21,PlatformWindowsWindows,7,4 GB RAM,1 GB,Version 9.0c,"1GB VRAM, DirectX® 9.0c Compatible - Intel HD 4400 / NVIDIA GeForce 9600GT / AMD Radeon HD 3850",null,null,null,null
Tom Clancy’s Splinter Cell Double Agent₹249,Tom Clancy’s Splinter Cell Double Agent,₹249,ActionStealth,null,DeveloperUbisoft Montreal,PublisherUbisoft,Release Date03/11/21,Windows ,Windows® XP,Compatible DirectX 9.0c with Shader 3.0 - 128 Mo,1 GB,DirectX 9.0c - compatible,8 GB,null,null,null,null
Alluris₹347,Alluris,₹347,RPGAdventureCard Game,Controller Support,Developer562 Interactive,Publisher562 Interactive,Release Date08/27/20,PlatformWindowsWindows,Windows 10,2 GB RAM,1 GB available space,10,NVIDIA GTX 650,null,null,null,null
ChromaGun₹309,ChromaGun,₹309,PuzzleFirst PersonIndie,Single Player,DeveloperPixel Maniacs,PublisherPixel Maniacs,Release Date11/03/21,Windows ,Windows Vista,2 GB RAM,1 GB available space,Direct X,null,null,33%,71,Fair
No Longer Home₹459,No Longer Home,₹459,CasualExplorationIndie,Single Player,DeveloperHumble Grove,PublisherFellow Traveller,Release Date07/30/21,PlatformWindowsWindowsMac OSMac OS,Windows 7 SP1,2 GB RAM,1 GB available space,Version 11,DirectX 11 compatible GPU,null,null,null,null
Warshmallows₹239,Warshmallows,₹239,ShooterIndie,Multiplayer,DeveloperYou Run Ltd,PublisherBonus Stage Publishing,Release Date01/06/22,Windows ,Windows 7,2 GB RAM,1 GB available space,Version 9,GeForce GTX 750 Ti,null,null,null,null
The Vale: Shadow of the Crown₹469,The Vale: Shadow of the Crown,₹469,ActionExplorationAdventure,Single PlayerController Support,DeveloperFalling Squirrel,PublisherFalling Squirrel,Release Date08/19/21,PlatformWindowsWindows,Windows 8,2 GB RAM,1 GB available space,Version 9,null,null,90%,82,Strong
Down in Bermuda₹469,Down in Bermuda,₹469,PuzzleAdventureIndie,null,DeveloperYak & Co,PublisherYak & Co,Release Date01/14/21,PlatformWindowsWindowsMac OSMac OS,Windows 7 64-bit,2 GB RAM,1 GB available space,Version 9.0c,1GB Shader Model 3.0 Compatible (DirectX 9.0c),null,null,null,null
A Monster's Expedition₹469,A Monster's Expedition,₹469,PuzzleAdventureIndie,Controller Support,DeveloperDraknek & Friends,PublisherDraknek & Friends,Release Date04/27/21,Windows ,Windows 7,2 GB RAM,1 GB available space,Version 9.0c,"256 MB NVidia or ATI graphics card, Intel HD Graphics 3000 or better",null,null,null,null
Wytchwood₹469,Wytchwood,₹469,SimulationAdventure,null,DeveloperAlientrap,PublisherWhitethorn Games,Release Date12/09/21,PlatformWindowsWindows,Windows 10,2 GB RAM,1 GB available space,Version 9.0c,"Geforce 9600 GS, Radeon HD4000, Shader Model 3.0, 512 MB",null,81%,80,Strong
Hundred Days - Winemaking Simulator₹589,Hundred Days - Winemaking Simulator,₹589,IndieSimulationStrategy,Single Player,DeveloperBroken Arms Games,PublisherBroken Arms Games,Release Date05/13/21,PlatformWindowsWindowsMac OSMac OS,Windows 7,4 GB RAM,1 GB available space,11,NVIDIA® GeForce® GT 600 or AMD Radeon™ equivalent,null,null,null,null
DISC ROOM₹595,DISC ROOM,₹595,ActionIndieAction-AdventureAdventure,Single Player,"DeveloperTerri, Dose, Kitty and JW",PublisherDevolver Digital,Release Date10/22/20,PlatformWindowsWindowsMac OSMac OS,"Windows 7, 8.1, 10 x64",4 GB RAM,1 GB available space,GeForce GT 730 (2048 MB),Gamepad Recommended,null,81%,83,Strong
Dandara: Trials of Fear Edition₹349,Dandara: Trials of Fear Edition,₹349,ActionPlatformer,null,DeveloperLong Hat House,PublisherRaw Fury,Release Date01/28/21,PlatformWindowsWindowsMac OSMac OS,Microsoft® Windows® XP,4 GB RAM,1 GB available space,Playing with a controller is strongly recommended.,null,null,null,null,null
FORECLOSED₹489,FORECLOSED,₹489,ActionRPGAdventure,Single Player,DeveloperAntab Studio,PublisherMerge Games Ltd.,Release Date08/12/21,PlatformWindowsWindows,Windows 10 or later,8 GB RAM,1 GB available space,Version 11,null,null,null,null,null
Legend of Grimrock₹349,Legend of Grimrock,₹349,RPGIndie,null,DeveloperAlmost Human Ltd.,PublisherAlmost Human Ltd.,Release Date10/25/21,Windows ,Windows XP Service Pack 3,2 GB RAM,1 GB HD space,null,ATI Radeon X1600 or NVIDIA GeForce 7600 or better (256MB graphics memory or more. Shader Model 3.0 needs to be supported),null,null,null,null
Saint Kotar₹589,Saint Kotar,₹589,NarrationHorrorIndie,Controller SupportSingle Player,DeveloperRed Martyr Entertainment,PublisherSOEDESCO,Release Date10/28/21,PlatformWindowsWindows,Windows 7 64-bit,2 GB RAM,1 GB RAM,DirectX 11,8 GB available space,"Text: Japanese, Korean, German, Italian, English, French, Chinese (Simplified), Chinese (Traditional), Polish, Portuguese, Russian, Turkish, Spanish (Spain), Spanish (Latin America)",null,null,null
Godstrike₹349,Godstrike,₹349,ActionIndie,Single Player,DeveloperOverpowered Team,PublisherFreedom Games,Release Date10/14/21,Windows ,Windows 10 / 8 / 7,4 GB RAM,1 GB Video RAM - NVIDIA GeForce GTX,DirectX 11,2GB,"Text: Chinese (Simplified), English, French, German, Italian, Spanish (Spain), Portuguese, Korean, Japanese, Russian",21%,55,Weak
Ruin Raiders₹469,Ruin Raiders,₹469,ActionStrategy,Single Player,DeveloperOverpowered Team,PublisherFreedom Games,Release Date10/14/21,PlatformWindowsWindows,Windows 10 / 8 / 7,4 GB RAM,1 GB Video RAM - NVIDIA GeForce GTX 650 / AMD R7 250,DirectX 11,350MB,"Text: Italian, French, English, Japanese, Chinese (Simplified), Spanish (Spain), German, Korean",null,null,null
The Fall Part 2: Unbound₹399,The Fall Part 2: Unbound,₹399,ActionPuzzleAdventure,Single PlayerController Support,DeveloperOver The Moon,PublisherOver The Moon,Release Date03/15/21,Windows ,"Windows 7 SP1+, 8, 10",8 GB,1.4 GB,10,GeForce GTX 560 or equivalent,null,47%,72,Fair
Rogue Invader₹349,Rogue Invader,₹349,ActionRogue-LiteIndie,Single Player,DeveloperSquishy Games,PublisherSquishy Games,Release Date03/18/22,Windows ,64-bit Windows 7/8.1/10,8 GB RAM,1.5 GB Compatible Card,1.2 GB,null,Text: English,null,null,null
Calico₹279,Calico,₹279,CasualSimulationOpen World,Single Player,DeveloperPeachy Keen Games,PublisherWhitethorn Games,Release Date12/15/20,PlatformWindowsWindows,Windows 7+,4GB Ram,1.5GB Available,null,null,null,45%,55,Weak
Siege Survival - Gloria Victis₹569,Siege Survival - Gloria Victis,₹569,SimulationSurvival,null,DeveloperBlack Eye Games,PublisherRavenscourt,Release Date05/18/21,PlatformWindowsWindows,Windows 7 Sp. 64-bit,4 GB,10 GB,11,"GeForce GT 740, Radeon HD 7750 - at least 1GB GPU memory",null,null,null,null
Battle Chasers: Nightwar₹999,Battle Chasers: Nightwar,₹999,ActionIndieRPG,Single Player,DeveloperAirship Syndicate,PublisherTHQ Nordic,Release Date03/25/21,Windows ,Windows 7 / 8 / 10 64 bit,4 GB,10 GB,11,Intel HD 4000 or equivalent with 1 GB VRAM,null,75%,80,Strong
Blast Brigade vs. the Evil Legion of Dr. CreadNEW TO EPIC₹529,Blast Brigade vs. the Evil Legion of Dr. Cread,₹529,ActionAdventurePlatformer,Single Player,DeveloperAllods Team Acrade,PublisherMY.GAMES,Release Date04/16/22,Windows ,Windows 10,4 GB,10 GB,11,NVIDIA GeForce GTX 950 or AMD Radeon R7 370,null,null,null,null
Farmer's Dynasty₹709,Farmer's Dynasty,₹709,SimulationRPGAdventure,Single Player,DeveloperUMEO Studios,PublisherToplitz Productions,Release Date01/13/22,Windows ,"Windows 7, 8, 10",4 GB RAM,10 GB,11,"DirectX 11 compatible GPU, min. 1.5GB dedicated VRAM (AMD Radeon HD 7000 series / NVIDIA GeForce GTX 500 series)",null,null,null,null
Of Bird And Cage₹459,Of Bird And Cage,₹459,ActionIndie,Single Player,DeveloperCapricia Productions,PublisherAll in! Games,Release Date12/16/21,PlatformWindowsWindows,Windows (64bit) OS,4 GB RAM,10 GB,Nvidia 730 GTx / 2GB vRAM,null,null,null,null,null
SAMURAI SHODOWN NEOGEO COLLECTION₹968,SAMURAI SHODOWN NEOGEO COLLECTION,₹968,Fighting,Multiplayer,DeveloperDigital Eclipse,PublisherSNK CORPORATION,Release Date06/11/20,PlatformWindowsWindows,Windows 10 (64-bit Required),8 GB,10 GB,11,"ATI Radeon RX 560 2GB, Nvidia GeForce GTX 900",null,null,null,null
"Old World₹1,117",Old World,"₹1,117",Turn-BasedStrategy,Co-opMultiplayerSingle Player,DeveloperMohawk Games,PublisherMohawk Games,Release Date05/05/20,PlatformWindowsWindowsMac OSMac OS,Microsoft Windows 7 (64-bit),8 GB,10 GB,11,NVIDIA GTX 770 / AMD R9 290,null,null,null,null
Solar Ash₹949,Solar Ash,₹949,ActionAdventureIndie,Single Player,DeveloperHeart Machine,PublisherAnnapurna Interactive,Release Date12/02/21,PlatformWindowsWindows,Windows 7,8 GB,10 GB,DirectX 11,"Nvidia GeForce GTX 550 Ti, 1 GB or AMD Radeon R7 360, 2 GB",null,66%,77,Strong
Shadowrun Hong Kong - Extended Edition₹529,Shadowrun Hong Kong - Extended Edition,₹529,RPGTurn-BasedIndie,null,DeveloperHarebrained Schemes,PublisherParadox Interactive,Release Date08/27/20,PlatformWindowsWindows,Windows XP SP3/Vista/Windows 7 & 8,2 GB RAM,10 GB available space,Version 9.0,DirectX compatible 3D graphics card with at least 256MB of addressable memory,null,87%,83,Strong
GRIME₹589,GRIME,₹589,Platformer,Single PlayerController Support,DeveloperClover Bite,Publisher–,Release Date08/02/21,PlatformWindowsWindows,Windows 10,4 GB RAM,10 GB available space,Version 10,nVidia GeForce 960 or AMD equivelent,null,82%,84,Mighty
Boomerang X₹699,Boomerang X,₹699,ActionIndie,Controller Support,DeveloperDANG!,PublisherDevolver Digital,Release Date07/08/21,PlatformWindowsWindows,Windows 10 x64,4 GB RAM,10 GB available space,Version 11,GeForce GTX 660 ( 2048 MB),null,78%,80,Strong
"Port Royale 4₹2,299",Port Royale 4,"₹2,299",SimulationStrategy,Controller SupportSingle Player,DeveloperGaming Minds Studios,PublisherKalypso Media,Release Date09/25/20,PlatformWindowsWindows,Windows 8.1 or Windows 10 (64bit versions),8 GB,10 GB available space,DirectX 11,"nVidia GeForce GTX 680 or AMD Radeon HD7970 or better (2048MB VRAM or more, with Shader Model 5.0)",null,27%,69,Fair
"Spacebase Startopia - Standard Edition₹2,299",Spacebase Startopia,"₹2,299",SimulationStrategy,null,DeveloperRealmforge Studios,PublisherKalypso Media,Release Date03/26/21,PlatformWindowsWindows,Windows 10 (64-bit versions),8 GB,10 GB available space,DirectX 12,"AMD/Nvidia dedicated GPU, 4 GB dedicated VRAM and Shader Model 5.1 (Nvidia Geforce GTX 960 or AMD Radeon r9 285)",null,null,null,null
"Operation: Tango₹1,106",Operation:Tango,"₹1,106",ActionPuzzleIndie,Co-op,DeveloperClever Plays Studio,PublisherClever Plays Studio,Release Date08/24/21,PlatformWindowsWindows,Windows 7,8 GB RAM,10 GB available space,NVIDIA GeForce GTX 1050 or AMD Radeon R9 380,null,null,null,null,null
"Ys IX: Monstrum Nox-20%₹1,419₹1,135.20",Ys IX: Monstrum Nox,"₹1,135.20",ActionRPG,Single Player,DeveloperNihon Falcom,"PublisherNIS America, Inc.",Release Date07/06/21,PlatformWindowsWindows,Windows 10/8.1 64-bit,8 GB RAM,10 GB available space,Version 11,Geforce GTX 650 Ti,null,82%,80,Strong
Beyond Blue₹469,Beyond Blue,₹469,CasualAdventureIndie,Single Player,DeveloperE-Line Media,PublisherE-Line Media,Release Date06/11/20,PlatformWindowsWindows,Windows 10 x64,8 GB RAM,10 GB available space,Version 11,NVIDIA GeForce GTX 730 or AMD R9 270,null,47%,72,Fair
"Partisans 1941₹1,199",Partisans 1941 - Extended Edition,"₹1,199",ActionStrategyStealth,Single Player,DeveloperAlter Games,PublisherDaedalic Entertainment,Release Date01/12/22,Windows ,Windows 7 SP 1 64bit,8 GB RAM,10 GB available space,Version 9.0c,NVIDIA GeForce GTX 660 / Radeon HD 7790,null,61%,75,Strong
Samurai Jack: Battle Through Time₹968,Samurai Jack: Battle Through Time,₹968,ActionFightingAction-AdventureAdventure,Controller Support,DeveloperSoleil Ltd.,PublisherAdult Swim Games,Release Date07/22/20,Windows ,Windows 7 64bit,8 GB,10 GB of free space,DirectX 11,NVIDIA GeForce GTX 750 Ti/ AMD Radeon HD 7750,null,61%,72,Fair
"Battlefield™ 2042₹2,999",Battlefield™ 2042,"₹2,999",ShooterFirst Person,Multiplayer,DeveloperDICE,PublisherElectronic Arts,Release Date11/19/21,PlatformWindowsWindows,64-bit Windows 10,8 GB,100 GB,12,"AMD Radeon RX 560, Nvidia GeForce GTX 1050 Ti",null,33%,65,Weak
Garden Story₹469,Garden Story,₹469,ActionRPGIndie,Single PlayerController Support,DeveloperPicogram,PublisherRose City Games,Release Date08/11/21,PlatformWindowsWindows,Windows Vista or greater,2 GB RAM,100 MB available space,Version 10,"256 mb video memory, shader model 3.0+",null,null,null,null
Sokobond₹239,Sokobond,₹239,CasualPuzzleIndie,null,DeveloperDraknek & Friends,PublisherDraknek & Friends,Release Date04/27/21,Windows ,Windows 7+,512 MB RAM,100 MB available space,null,null,null,null,null,null
2064: Read Only Memories₹469,2064: Read Only Memories,₹469,Adventure,Single Player,"DeveloperMidBoss, LLC","PublisherMidBoss, LLC",Release Date09/28/21,Windows ,Windows XP,1 GB RAM,1000 MB available space,Version 9.0c,Direct X or Open GL 2.0 compatible card,null,63%,77,Strong
"FINAL FANTASY VII REMAKE INTERGRADE₹4,799",FINAL FANTASY VII REMAKE INTERGRADE,"₹4,799",ActionRPGAdventure,Controller Support,DeveloperSquare Enix,PublisherSquare Enix,Release Date12/16/21,PlatformWindowsWindows,Windows 10 64bit (ver. 2004 or later),8 GB,100GB or more,Version 12 or later,GeForce GTX 780 / Radeon RX 480 （3GB VRAM）,null,93%,86,Mighty
Wilmot's Warehouse₹458,Wilmot's Warehouse,₹458,PuzzleIndie,Co-opSingle PlayerController Support,"DeveloperHollow Ponds, Richard Hogg",PublisherFinji,Release Date08/06/20,PlatformWindowsWindowsMac OSMac OS,Windows 7+,1GB,100MB,"9800 GTX, Radeon HD 5850",null,null,null,null,null
"Sherlock Holmes: The Devil's Daughter₹1,499",Sherlock Holmes: The Devil's Daughter,"₹1,499",ActionPuzzleAdventure,Controller SupportSingle Player,DeveloperFrogwares,PublisherFrogwares,Release Date06/25/21,Windows ,Windows 7 64 Bit / Windows 8.1 64 Bit / Windows 10 64 Bit,6 GB RAM,1024 MB 100% DirectX 11 compatible AMD Radeon HD 7790 / NVIDIA GeForce 460 GTX,Version 11,20 GB available space,null,13%,65,Weak
Nuclear Throne₹419,Nuclear Throne,₹419,ActionRPGRogue-Lite,Single PlayerController Support,Developer Vlambeer,Publisher Vlambeer,Release Date11/07/19,PlatformWindowsWindowsMac OSMac OS,Windows XP,256MB,1024 MB RAM,200 MB available space,This game is locked to 30 frames per second.,null,95%,86,Mighty
KID A MNESIA EXHIBITIONFree,KID A MNESIA EXHIBITION,Free,ExplorationFirst Person,Single PlayerController Support,Developer[namethemachine] x Arbitrarily Good Productions,PublisherEpic Games Publishing,Release Date11/18/21,PlatformWindowsWindowsMac OSMac OS,Windows 10 (64 Bit),8 GB,10GB,DirectX 11,Nvidia GeForce GTX 760 | Equivalent Radeon card,null,null,null,null
Expeditions: Viking₹729,Expeditions: Viking,₹729,RPGStrategyIndie,null,DeveloperLogic Artists,PublisherTHQ Nordic,Release Date10/13/21,Windows ,Windows 7,4 GB,12 GB,11,NVIDIA GeForce GTS 450,null,48%,70,Fair
Lumberjack's Dynasty₹589,Lumberjack's Dynasty,₹589,SimulationRPGAdventure,Single PlayerController Support,DeveloperUMEO Studios,PublisherToplitz Productions,Release Date04/29/21,PlatformWindowsWindows,"Windows 7, 8, 10",4 GB RAM,12 GB,11,"DirectX 11 compatible GPU, min. 1.5 GB dedicated VRAM (AMD Radeon HD 7000 series / NVIDIA GeForce GTX 500 series)",null,null,null,null
Nemezis: Mysterious Journey III₹469,Nemezis: Mysterious Journey III,₹469,PuzzleNarrationAdventureFirst Person,Single Player,DeveloperDetalion Games,PublisherDetalion Games,Release Date12/16/21,Windows ,Windows 7/8/10,8 GB,12 GB,11,2GB / Radeon R9 200 Series or Nvidia GeForce GTX660,null,null,null,null
Skábma - Snowfall-10%₹529₹476.10,Skábma - Snowfall,₹476.10,ExplorationAdventure,Single Player,DeveloperRed Stage Entertainment,PublisherPID Games,Release Date04/22/22,PlatformWindowsWindows,Windows 10,8 GB,12 GB,NVIDIA GeForce GTX 1050 3GB / AMD Radeon RX 460 4GB,Requires a 64-bit processor and operating system,null,null,null,null
Verdun₹599,Verdun,₹599,ActionShooter,Co-opMultiplayerSingle PlayerController Support,DeveloperM2H & Blackmill Games,PublisherM2H,Release Date07/22/21,Windows ,Windows 8/10,4 GB RAM,12 GB available space,10,"Geforce GTX 960M / Radeon HD 7750 or higher, 1GB video card memory",null,20%,57,Weak
Exo One₹399,Exo One,₹399,ExplorationAdventure,Single PlayerController Support,DeveloperExbleative,PublisherFuture Friends Games,Release Date11/18/21,PlatformWindowsWindows,Windows 7 or higher 64 bit,4 GB RAM,12 GB available space,Version 11,NVIDIA GeForce 650 or higher with 1GB memory,null,null,null,null
"Total War: WARHAMMER III₹3,399",Total War: WARHAMMER III,"₹3,399",ActionStrategy,Multiplayer,DeveloperCreative Assembly,PublisherSEGA,Release Date02/17/22,PlatformWindowsWindowsMac OSMac OS,Windows 7 64-bit,6 GB,120 GB,11,Nvidia GTX 900/AMD RX 400 series | Intel Iris Xe Graphics,null,95%,86,Mighty
FTL: Faster Than Light₹372,Faster Than Light,₹372,Strategy,Single Player,DeveloperSubset Games,PublisherSubset Games,Release Date09/14/14,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,Windows 7+,1 GB,1280x720 Minimum Resolution,200 MB,null,null,null,null,null
TOHU₹349,TOHU,₹349,PuzzleAdventureIndie,Single Player,DeveloperFireart Games,PublisherThe Irregular Corporation,Release Date10/18/21,Windows ,Windows 7 or later,4 GB,13 GB,DirectX 9.0c,GeForce GTX 660 (2048 MB) or Radeon R9 285 (2048 MB) - Integrated GPUs may work but are not supported.,null,56%,72,Fair
Ken Follett's The Pillars of the Earth-90%₹599₹59.90,Ken Follett's The Pillars of the Earth,₹59.90,PuzzleNarrationAdventure,Single PlayerController Support,DeveloperDaedalic Entertainment,PublisherDaedalic Entertainment,Release Date04/15/21,Windows ,"Win 7, 8, 10, 32/64-bit",4 GB RAM,"13,5 GB available space",Version 9.0,"AMD Radeon HD 6670, GeForce GTX 200 series with at least 1GB",null,null,null,null
Realpolitiks II₹899,Realpolitiks 2,₹899,IndieStrategy,Single Player,DeveloperJujubee S.A.,Publisher1C Entertainment,Release Date05/12/21,Windows ,Windows 7/8/10 64-bit,8 GB RAM,14 GB,DirectX 11,"GeForce GTX 760, Radeon HD 7950 or equivalent with 2 GB of video RAM. A dedicated video card is required.",null,null,null,null
"Galactic Civilizations IV₹1,179",Galactic Civilizations IV,"₹1,179",Strategy,MultiplayerSingle Player,DeveloperStardock Entertainment,PublisherStardock Entertainment,Release Date04/26/22,PlatformWindowsWindows,Windows 10 64-bit,8GB RAM,14 GB,11,1 GB Video Card,null,null,null,null
Layers of Fear 2₹469,Layers of Fear 2,₹469,HorrorIndie,null,DeveloperBloober Team SA,PublisherGun Media,Release Date10/22/20,PlatformWindowsWindows,Windows 7,5 GB RAM,14 GB Available Space,Version 11,GeForce GTX 750 Ti / AMD Radeon R7 265,null,43%,70,Fair
JETT: The Far Shore₹709,JETT : The Far Shore,₹709,ExplorationOpen WorldAdventure,Single Player,DeveloperSuperbrothers + Pine Scented,PublisherSuperbrothers + Pine Scented,Release Date10/05/21,PlatformWindowsWindows,Windows 10 (64-bit),8 GB RAM,14 GB hard drive space,DirectX 11,NVIDIA Geforce GTX 1060 / AMD Radeon RX 480 or equivalent,null,28%,66,Fair
"Jurassic World Evolution 2₹2,449",Jurassic World Evolution 2,"₹2,449",Strategy,Single Player,DeveloperFrontier Developments,PublisherFrontier Developments,Release Date11/09/21,PlatformWindowsWindows,Windows 10 64bit (min version 1809),8GB,14GB,(4GB VRAM) NVIDIA GeForce GTX 1050Ti (Legacy GPU: GeForce GTX 960) / AMD Radeon RX 470,null,null,67%,78,Strong
"Darksiders Genesis₹1,159",Darksiders Genesis,"₹1,159",ActionAction-AdventureAdventure,Co-opMultiplayerSingle Player,DeveloperAirship Syndicate,PublisherTHQ Nordic,Release Date07/16/21,Windows ,"Windows 7, 8, Windows 10 (64 bit)",4 GB,15 GB,11,NVIDIA GeForce GTX 960,null,74%,78,Strong
Shattered: Tale of the Forgotten KingNEW TO EPIC₹709,Shattered: Tale of the Forgotten King,₹709,ActionAdventure,Single Player,DeveloperRedlock Studio,PublisherForthright Entertainment,Release Date04/22/22,Windows ,8,4 GB RAM,15 GB,11,"NVIDIA® GeForce® GTX 480, GTX 570, GTX 670, or better",null,null,null,null
"SpellForce 3 Reforced₹1,350",SpellForce 3 Reforced,"₹1,350",RPGStrategy,null,DeveloperGrimlore Games,PublisherTHQ Nordic,Release Date12/06/21,Windows ,"Windows 7, 8, Windows 10 (64 bit)",6 GB,15 GB,11,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",null,null,null,null
SpellForce 3: Versus EditionFree,SpellForce 3: Versus Edition,Free,RPGStrategy,MultiplayerSingle Player,DeveloperGrimlore Games,PublisherTHQ Nordic,Release Date12/14/20,PlatformWindowsWindows,"Windows 7, 8, Windows 10 (64 bit)",6 GB,15 GB,11,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",null,46%,74,Fair
SpellForce 3: Soul Harvest₹809,SpellForce 3: Soul Harvest,₹809,RPGStrategy,MultiplayerSingle Player,DeveloperGrimlore Games,PublisherTHQ Nordic,Release Date07/16/21,Windows ,"Windows 7, 8, Windows 10 (64 bit)",6 GB RAM,15 GB,11,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",null,null,null,null
Call of the Sea₹469,Call of the Sea,₹469,CasualPuzzleAdventure,Single Player,DeveloperOut of the Blue,PublisherRaw Fury,Release Date02/17/22,Windows ,64-bit Windows 7/8.1/10,8 GB,15 GB,11,"AMD Radeon HD 7750, NVIDIA GeForce GTX 650 or Equivalent",null,70%,78,Strong
Horror Story: Hallowseed₹589,Horror Story: Hallowseed,₹589,Horror,Single Player,DeveloperJeff Winner,Publisher1C Entertainment,Release Date10/28/21,PlatformWindowsWindows,Windows 7 / 8 / 10 64-bits,8 GB,15 GB,11,NVIDIA® GeForce® GTX 960 (Lower PC Can Run it but loses Fps and Graphics Quality),null,null,null,null
The Uncertain: Light at the End₹239,The Uncertain: Light at the End,₹239,PuzzleAdventure,Single Player,DeveloperNew Games Order,PublisherMETA Publishing,Release Date07/13/21,Windows ,Windows 10 x64 and UP,8 GB RAM,15 GB,11,Nvidia GeForce GTX 750Ti or higher,null,6%,46,Weak
Tennis Manager 2021-20%₹939₹751.20,Tennis Manager 2021,₹751.20,Simulation,null,DeveloperRebound CG.,PublisherRebound CG.,Release Date05/25/21,PlatformWindowsWindowsMac OSMac OS,Windows 7/8/10 64-bit,4 GB RAM,15 GB available space,Version 9.0,"512 Mo, ATI Radeon HD 5570/NVIDIA GeForce GT 240/Intel HD 4600",null,null,null,null
Demon Turf₹569,Demon Turf,₹569,AdventurePlatformerIndie,Single PlayerController Support,DeveloperFabraz,PublisherPlaytonic Games,Release Date11/04/21,PlatformWindowsWindows,Windows XP SP3 / Windows Vista / Windows 7 / Windows 8 / Windows 10,4 GB RAM,15 GB available space,Version 9.0,null,null,null,null,null
